index,candidate,elapsed_s,rationale,worst_return_db,isolation_db,worst_return_expr,worst_coupling_expr,x_return_worst_db,y_return_worst_db,xy_return_balance_db,same_element_xy_isolation_db,same_feed_inter_element_isolation_db,patch_side_mm,port_width_mm,dualpol_slotcoupled_enabled,feed_substrate_h_mm,slot_coupled_aperture_length_a_mm,slot_coupled_aperture_length_b_mm,slot_coupled_aperture_width_mm,slot_coupled_offset_a_mm,slot_coupled_offset_b_mm,slot_coupled_aperture_center_a_v_mm,slot_coupled_aperture_center_b_u_mm,slot_coupled_feedline_length_mm,slot_coupled_feedline_width_mm,slot_coupled_feedline_offset_a_v_mm,slot_coupled_feedline_offset_b_u_mm,dualpol_parasitic_enabled,parasitic_side_mm,air_gap_mm,isolation_slot_enabled,isolation_slot_length_mm,isolation_slot_width_mm,isolation_slot_inner_mm,score
11,p8p95_l4p2_w0p55_fw0p65_len12,70.207943,在较小贴片最佳附近加长下层馈线，检查开路支节长度匹配。,-1.623268,5.248279,"dB(S(P1A:1,P1A:1))","dB(S(P4A:1,P4B:1))",-1.623268,-1.652993,0.029726,5.248279,46.136049,8.950000,0.500000,1.000000,0.254000,4.200000,4.200000,0.550000,0.000000,0.000000,0.000000,0.000000,12.000000,0.650000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,85.202634
12,p8p75_l4p0_w0p50_fw0p65_h0p508,73.228775,加厚下层介质降低孔缝加载，尝试改善回波而不改变孔缝中心。,-0.356521,3.621475,"dB(S(P4B:1,P4B:1))","dB(S(P1B:1,P1A:1))",-0.507858,-0.356521,0.151337,3.621475,20.290081,8.750000,0.500000,1.000000,0.508000,4.000000,4.000000,0.500000,0.000000,0.000000,0.000000,0.000000,10.000000,0.650000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,98.926729
13,p9p35_l4p8_w0p60_fw0p70,74.222584,沿上一轮参考继续加长中心孔缝，检查强一点的中心耦合是否继续改善 S11。,-2.808868,1.500480,"dB(S(P2B:1,P2B:1))","dB(S(P3A:1,P3B:1))",-2.836695,-2.808868,0.027827,1.500480,39.243813,9.350000,0.500000,1.000000,0.254000,4.800000,4.800000,0.600000,0.000000,0.000000,0.000000,0.000000,10.000000,0.700000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,75.216734
14,p9p55_l4p8_w0p60_fw0p70,70.206048,放大贴片配 4.8 mm 中心孔缝，判断高频端失配是否需要更低谐振配合更强孔缝。,-2.926768,1.180079,"dB(S(P4B:1,P4B:1))","dB(S(P1B:1,P1A:1))",-2.964233,-2.926768,0.037465,1.180079,41.434460,9.550000,0.500000,1.000000,0.254000,4.800000,4.800000,0.600000,0.000000,0.000000,0.000000,0.000000,10.000000,0.700000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,74.217207
15,p9p55_l5p2_w0p65_fw0p75,72.305539,放大贴片并进一步增强中心孔缝耦合，寻找深一点的回波谷。,-2.742175,1.790706,"dB(S(P4A:1,P4A:1))","dB(S(P1B:1,P1A:1))",-2.742175,-2.764145,0.021971,1.790706,40.297116,9.550000,0.500000,1.000000,0.254000,5.200000,5.200000,0.650000,0.000000,0.000000,0.000000,0.000000,10.000000,0.750000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,75.726842
16,p9p75_l5p2_w0p65_fw0p75,68.198534,更大贴片搭配 5.2 mm 孔缝，测试中心强耦合路线的上限。,-2.826534,2.050151,"dB(S(P4A:1,P4A:1))","dB(S(P2A:1,P2B:1))",-2.826534,-2.870062,0.043528,2.050151,42.250156,9.750000,0.500000,1.000000,0.254000,5.200000,5.200000,0.650000,0.000000,0.000000,0.000000,0.000000,10.000000,0.750000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,74.796643
17,p9p75_l5p6_w0p70_fw0p80,70.201580,强中心孔缝上限候选，判断矩形孔缝扫描是否已到不可用的过耦合区。,-3.348530,1.286387,"dB(S(P2A:1,P2A:1))","dB(S(P4B:1,P4A:1))",-3.348530,-3.378910,0.030380,1.286387,42.194241,9.750000,0.500000,1.000000,0.254000,5.600000,5.600000,0.700000,0.000000,0.000000,0.000000,0.000000,10.000000,0.800000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,69.932263
18,p9p25_l4p5_w0p58_fw0p68,70.217724,在 p9.15/p9.35 之间插值，细扫上一轮参考和本轮最佳之间的局部谷。,-2.599785,2.363361,"dB(S(P1A:1,P1A:1))","dB(S(P2A:1,P2B:1))",-2.599785,-2.630806,0.031021,2.363361,38.369318,9.250000,0.500000,1.000000,0.254000,4.500000,4.500000,0.580000,0.000000,0.000000,0.000000,0.000000,10.000000,0.680000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,76.882515
19,p9p05_l4p25_w0p56_fw0p66,72.221854,围绕 p8.95/l4.2 的局部细扫，略放大贴片和孔缝。,-2.367793,2.175641,"dB(S(P3B:1,P3B:1))","dB(S(P1B:1,P1A:1))",-2.374765,-2.367793,0.006973,2.175641,37.167392,9.050000,0.500000,1.000000,0.254000,4.250000,4.250000,0.560000,0.000000,0.000000,0.000000,0.000000,10.000000,0.660000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,79.248199
20,p9p00_l4p2_w0p56_fw0p66,66.314565,围绕 p8.95/l4.2 的局部细扫，主要提高馈线与孔缝宽度。,-2.232771,2.298151,"dB(S(P4A:1,P4A:1))","dB(S(P1B:1,P1A:1))",-2.232771,-2.248875,0.016104,2.298151,42.190123,9.000000,0.500000,1.000000,0.254000,4.200000,4.200000,0.560000,0.000000,0.000000,0.000000,0.000000,10.000000,0.660000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,80.555425
21,p8p90_l4p15_w0p54_fw0p64,66.232620,围绕 p8.95/l4.2 的低侧细扫，确认最佳点是否已越过。,-2.039566,2.216661,"dB(S(P2B:1,P2B:1))","dB(S(P4B:1,P4A:1))",-2.074909,-2.039566,0.035344,2.216661,35.654086,8.900000,0.500000,1.000000,0.254000,4.150000,4.150000,0.540000,0.000000,0.000000,0.000000,0.000000,10.000000,0.640000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,82.566701
22,p8p95_l4p2_w0p60_fw0p70,66.233632,固定当前最佳贴片和孔缝长度，仅提高孔缝/馈线宽度调阻抗。,-2.179188,3.113253,"dB(S(P3A:1,P3A:1))","dB(S(P2A:1,P2B:1))",-2.179188,-2.290251,0.111063,3.113253,40.371679,8.950000,0.500000,1.000000,0.254000,4.200000,4.200000,0.600000,0.000000,0.000000,0.000000,0.000000,10.000000,0.700000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,80.873618
23,p8p95_l4p4_w0p58_fw0p68,71.172043,当前最佳附近略加长孔缝，寻找更深回波。,-2.790544,1.703968,"dB(S(P1B:1,P1B:1))","dB(S(P2A:1,P2B:1))",-2.794292,-2.790544,0.003748,1.703968,29.936938,8.950000,0.500000,1.000000,0.254000,4.400000,4.400000,0.580000,0.000000,0.000000,0.000000,0.000000,10.000000,0.680000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,75.250073
24,p9p05_l4p4_w0p58_fw0p68,76.550916,当前最佳附近同时略放大贴片和孔缝，做局部二维插值。,-2.593078,1.531062,"dB(S(P4A:1,P4A:1))","dB(S(P3A:1,P3B:1))",-2.593078,-2.625966,0.032888,1.531062,34.800012,9.050000,0.500000,1.000000,0.254000,4.400000,4.400000,0.580000,0.000000,0.000000,0.000000,0.000000,10.000000,0.680000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,77.369462
