index,candidate,elapsed_s,rationale,worst_return_db,isolation_db,worst_return_expr,worst_coupling_expr,x_return_worst_db,y_return_worst_db,xy_return_balance_db,same_element_xy_isolation_db,same_feed_inter_element_isolation_db,patch_side_mm,port_width_mm,dualpol_slotcoupled_enabled,feed_substrate_h_mm,slot_coupled_aperture_length_a_mm,slot_coupled_aperture_length_b_mm,slot_coupled_aperture_width_mm,slot_coupled_offset_a_mm,slot_coupled_offset_b_mm,slot_coupled_aperture_center_a_v_mm,slot_coupled_aperture_center_b_u_mm,slot_coupled_feedline_length_mm,slot_coupled_feedline_width_mm,slot_coupled_feedline_offset_a_v_mm,slot_coupled_feedline_offset_b_u_mm,dualpol_parasitic_enabled,parasitic_side_mm,air_gap_mm,isolation_slot_enabled,isolation_slot_length_mm,isolation_slot_width_mm,isolation_slot_inner_mm,score,slot_coupled_stub_enabled,slot_coupled_stub_length_mm,slot_coupled_stub_width_mm,slot_coupled_stub_offset_mm,slot_coupled_stub_side_sign,slot_coupled_stub2_enabled,slot_coupled_stub2_length_mm,slot_coupled_stub2_width_mm,slot_coupled_stub2_offset_mm,slot_coupled_stub2_side_sign,slot_coupled_step_enabled,slot_coupled_step_length_mm,slot_coupled_step_width_mm,slot_coupled_b_feed_layer_offset_mm,slot_coupled_bridge_enabled,slot_coupled_bridge_gap_mm,slot_coupled_bridge_offset_mm,slot_coupled_bridge_width_mm
11,p8p95_l4p2_w0p55_fw0p65_len12,70.207943,在较小贴片最佳附近加长下层馈线，检查开路支节长度匹配。,-1.623268,5.248279,"dB(S(P1A:1,P1A:1))","dB(S(P4A:1,P4B:1))",-1.623268,-1.652993,0.029726,5.248279,46.136049,8.950000,0.500000,1.000000,0.254000,4.200000,4.200000,0.550000,0.000000,0.000000,0.000000,0.000000,12.000000,0.650000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,85.202634,,,,,,,,,,,,,,,,,,
12,p8p75_l4p0_w0p50_fw0p65_h0p508,73.228775,加厚下层介质降低孔缝加载，尝试改善回波而不改变孔缝中心。,-0.356521,3.621475,"dB(S(P4B:1,P4B:1))","dB(S(P1B:1,P1A:1))",-0.507858,-0.356521,0.151337,3.621475,20.290081,8.750000,0.500000,1.000000,0.508000,4.000000,4.000000,0.500000,0.000000,0.000000,0.000000,0.000000,10.000000,0.650000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,98.926729,,,,,,,,,,,,,,,,,,
13,p9p35_l4p8_w0p60_fw0p70,74.222584,沿上一轮参考继续加长中心孔缝，检查强一点的中心耦合是否继续改善 S11。,-2.808868,1.500480,"dB(S(P2B:1,P2B:1))","dB(S(P3A:1,P3B:1))",-2.836695,-2.808868,0.027827,1.500480,39.243813,9.350000,0.500000,1.000000,0.254000,4.800000,4.800000,0.600000,0.000000,0.000000,0.000000,0.000000,10.000000,0.700000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,75.216734,,,,,,,,,,,,,,,,,,
14,p9p55_l4p8_w0p60_fw0p70,70.206048,放大贴片配 4.8 mm 中心孔缝，判断高频端失配是否需要更低谐振配合更强孔缝。,-2.926768,1.180079,"dB(S(P4B:1,P4B:1))","dB(S(P1B:1,P1A:1))",-2.964233,-2.926768,0.037465,1.180079,41.434460,9.550000,0.500000,1.000000,0.254000,4.800000,4.800000,0.600000,0.000000,0.000000,0.000000,0.000000,10.000000,0.700000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,74.217207,,,,,,,,,,,,,,,,,,
15,p9p55_l5p2_w0p65_fw0p75,72.305539,放大贴片并进一步增强中心孔缝耦合，寻找深一点的回波谷。,-2.742175,1.790706,"dB(S(P4A:1,P4A:1))","dB(S(P1B:1,P1A:1))",-2.742175,-2.764145,0.021971,1.790706,40.297116,9.550000,0.500000,1.000000,0.254000,5.200000,5.200000,0.650000,0.000000,0.000000,0.000000,0.000000,10.000000,0.750000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,75.726842,,,,,,,,,,,,,,,,,,
16,p9p75_l5p2_w0p65_fw0p75,68.198534,更大贴片搭配 5.2 mm 孔缝，测试中心强耦合路线的上限。,-2.826534,2.050151,"dB(S(P4A:1,P4A:1))","dB(S(P2A:1,P2B:1))",-2.826534,-2.870062,0.043528,2.050151,42.250156,9.750000,0.500000,1.000000,0.254000,5.200000,5.200000,0.650000,0.000000,0.000000,0.000000,0.000000,10.000000,0.750000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,74.796643,,,,,,,,,,,,,,,,,,
17,p9p75_l5p6_w0p70_fw0p80,70.201580,强中心孔缝上限候选，判断矩形孔缝扫描是否已到不可用的过耦合区。,-3.348530,1.286387,"dB(S(P2A:1,P2A:1))","dB(S(P4B:1,P4A:1))",-3.348530,-3.378910,0.030380,1.286387,42.194241,9.750000,0.500000,1.000000,0.254000,5.600000,5.600000,0.700000,0.000000,0.000000,0.000000,0.000000,10.000000,0.800000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,69.932263,,,,,,,,,,,,,,,,,,
18,p9p25_l4p5_w0p58_fw0p68,70.217724,在 p9.15/p9.35 之间插值，细扫上一轮参考和本轮最佳之间的局部谷。,-2.599785,2.363361,"dB(S(P1A:1,P1A:1))","dB(S(P2A:1,P2B:1))",-2.599785,-2.630806,0.031021,2.363361,38.369318,9.250000,0.500000,1.000000,0.254000,4.500000,4.500000,0.580000,0.000000,0.000000,0.000000,0.000000,10.000000,0.680000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,76.882515,,,,,,,,,,,,,,,,,,
19,p9p05_l4p25_w0p56_fw0p66,72.221854,围绕 p8.95/l4.2 的局部细扫，略放大贴片和孔缝。,-2.367793,2.175641,"dB(S(P3B:1,P3B:1))","dB(S(P1B:1,P1A:1))",-2.374765,-2.367793,0.006973,2.175641,37.167392,9.050000,0.500000,1.000000,0.254000,4.250000,4.250000,0.560000,0.000000,0.000000,0.000000,0.000000,10.000000,0.660000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,79.248199,,,,,,,,,,,,,,,,,,
20,p9p00_l4p2_w0p56_fw0p66,66.314565,围绕 p8.95/l4.2 的局部细扫，主要提高馈线与孔缝宽度。,-2.232771,2.298151,"dB(S(P4A:1,P4A:1))","dB(S(P1B:1,P1A:1))",-2.232771,-2.248875,0.016104,2.298151,42.190123,9.000000,0.500000,1.000000,0.254000,4.200000,4.200000,0.560000,0.000000,0.000000,0.000000,0.000000,10.000000,0.660000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,80.555425,,,,,,,,,,,,,,,,,,
21,p8p90_l4p15_w0p54_fw0p64,66.232620,围绕 p8.95/l4.2 的低侧细扫，确认最佳点是否已越过。,-2.039566,2.216661,"dB(S(P2B:1,P2B:1))","dB(S(P4B:1,P4A:1))",-2.074909,-2.039566,0.035344,2.216661,35.654086,8.900000,0.500000,1.000000,0.254000,4.150000,4.150000,0.540000,0.000000,0.000000,0.000000,0.000000,10.000000,0.640000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,82.566701,,,,,,,,,,,,,,,,,,
22,p8p95_l4p2_w0p60_fw0p70,66.233632,固定当前最佳贴片和孔缝长度，仅提高孔缝/馈线宽度调阻抗。,-2.179188,3.113253,"dB(S(P3A:1,P3A:1))","dB(S(P2A:1,P2B:1))",-2.179188,-2.290251,0.111063,3.113253,40.371679,8.950000,0.500000,1.000000,0.254000,4.200000,4.200000,0.600000,0.000000,0.000000,0.000000,0.000000,10.000000,0.700000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,80.873618,,,,,,,,,,,,,,,,,,
23,p8p95_l4p4_w0p58_fw0p68,71.172043,当前最佳附近略加长孔缝，寻找更深回波。,-2.790544,1.703968,"dB(S(P1B:1,P1B:1))","dB(S(P2A:1,P2B:1))",-2.794292,-2.790544,0.003748,1.703968,29.936938,8.950000,0.500000,1.000000,0.254000,4.400000,4.400000,0.580000,0.000000,0.000000,0.000000,0.000000,10.000000,0.680000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,75.250073,,,,,,,,,,,,,,,,,,
24,p9p05_l4p4_w0p58_fw0p68,76.550916,当前最佳附近同时略放大贴片和孔缝，做局部二维插值。,-2.593078,1.531062,"dB(S(P4A:1,P4A:1))","dB(S(P3A:1,P3B:1))",-2.593078,-2.625966,0.032888,1.531062,34.800012,9.050000,0.500000,1.000000,0.254000,4.400000,4.400000,0.580000,0.000000,0.000000,0.000000,0.000000,10.000000,0.680000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,77.369462,,,,,,,,,,,,,,,,,,
25,p9p75_l5p6_w0p70_fw0p80_stub0p45,76.232513,当前最佳几何增加短开路支节，先试探端口侧电抗补偿方向。,-3.836187,1.730792,"dB(S(P3B:1,P3B:1))","dB(S(P2A:1,P2B:1))",-3.837089,-3.836187,0.000902,1.730792,42.847480,9.750000,0.500000,1.000000,0.254000,5.600000,5.600000,0.700000,0.000000,0.000000,0.000000,0.000000,10.000000,0.800000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,64.774539,1.000000,0.450000,0.240000,2.000000,1.000000,,,,,,,,,,,,,
26,p9p75_l5p6_w0p70_fw0p80_stub0p75,72.197677,当前最佳几何增加 0.75 mm 开路支节，检查 S11 是否继续加深。,-3.746972,1.385285,"dB(S(P2A:1,P2A:1))","dB(S(P1A:1,P1B:1))",-3.746972,-3.771193,0.024221,1.385285,39.337854,9.750000,0.500000,1.000000,0.254000,5.600000,5.600000,0.700000,0.000000,0.000000,0.000000,0.000000,10.000000,0.800000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,65.886077,1.000000,0.750000,0.240000,2.000000,1.000000,,,,,,,,,,,,,
27,p9p75_l5p6_w0p70_fw0p80_stub1p10,72.172471,当前最佳几何增加较长开路支节，寻找下层馈线电抗调谐点。,-3.957499,1.726691,"dB(S(P3B:1,P3B:1))","dB(S(P1B:1,P1A:1))",-3.986350,-3.957499,0.028851,1.726691,42.505838,9.750000,0.500000,1.000000,0.254000,5.600000,5.600000,0.700000,0.000000,0.000000,0.000000,0.000000,10.000000,0.800000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,63.619369,1.000000,1.100000,0.240000,2.000000,1.000000,,,,,,,,,,,,,
28,p9p75_l5p6_w0p70_fw0p80_stub1p45,86.249637,当前最佳几何增加 1.45 mm 开路支节，测试是否进入过补偿区。,-3.714646,1.156272,"dB(S(P4A:1,P4A:1))","dB(S(P1B:1,P1A:1))",-3.714646,-3.745499,0.030852,1.156272,42.258000,9.750000,0.500000,1.000000,0.254000,5.600000,5.600000,0.700000,0.000000,0.000000,0.000000,0.000000,10.000000,0.800000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,66.337105,1.000000,1.450000,0.240000,2.000000,1.000000,,,,,,,,,,,,,
29,p9p75_l5p6_w0p70_fw0p80_stub0p75_off1p2,74.252093,把 0.75 mm 支节移向馈线中心，检查支节位置对阻抗的影响。,-4.135006,0.703491,"dB(S(P4A:1,P4A:1))","dB(S(P2A:1,P2B:1))",-4.135006,-4.147928,0.012923,0.703491,40.391741,9.750000,0.500000,1.000000,0.254000,5.600000,5.600000,0.700000,0.000000,0.000000,0.000000,0.000000,10.000000,0.800000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,62.324042,1.000000,0.750000,0.240000,1.200000,1.000000,,,,,,,,,,,,,
30,p9p75_l5p6_w0p70_fw0p80_stub0p75_off3p0,74.208311,把 0.75 mm 支节移向端口侧，检查端口附近电抗补偿。,-3.482991,1.220335,"dB(S(P2B:1,P2B:1))","dB(S(P3B:1,P3A:1))",-3.511560,-3.482991,0.028569,1.220335,41.248599,9.750000,0.500000,1.000000,0.254000,5.600000,5.600000,0.700000,0.000000,0.000000,0.000000,0.000000,10.000000,0.800000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,68.617061,1.000000,0.750000,0.240000,3.000000,1.000000,,,,,,,,,,,,,
31,p9p75_l5p6_w0p70_fw0p80_stub0p75_neg,72.202727,把开路支节放到馈线另一侧，检查不对称寄生耦合方向。,-3.059818,1.883913,"dB(S(P2B:1,P2B:1))","dB(S(P1B:1,P1A:1))",-3.109409,-3.059818,0.049592,1.883913,46.073082,9.750000,0.500000,1.000000,0.254000,5.600000,5.600000,0.700000,0.000000,0.000000,0.000000,0.000000,10.000000,0.800000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,72.559048,1.000000,0.750000,0.240000,2.000000,-1.000000,,,,,,,,,,,,,
32,p9p75_l5p6_w0p70_fw0p80_port0p80_stub0p75,72.228843,端口宽度匹配 0.8 mm 馈线并加入 0.75 mm 支节，分辨端口过渡和支节贡献。,-3.422294,1.595141,"dB(S(P1B:1,P1B:1))","dB(S(P4A:1,P4B:1))",-3.467439,-3.422294,0.045145,1.595141,38.673929,9.750000,0.800000,1.000000,0.254000,5.600000,5.600000,0.700000,0.000000,0.000000,0.000000,0.000000,10.000000,0.800000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,69.069784,1.000000,0.750000,0.240000,2.000000,1.000000,,,,,,,,,,,,,
33,p9p55_l4p8_w0p60_fw0p70_stub0p75,77.215151,第二轮次优几何增加支节，观察较弱孔缝是否更适合电抗补偿。,-3.611954,1.576308,"dB(S(P1B:1,P1B:1))","dB(S(P3A:1,P3B:1))",-3.632998,-3.611954,0.021044,1.576308,39.743070,9.550000,0.500000,1.000000,0.254000,4.800000,4.800000,0.600000,0.000000,0.000000,0.000000,0.000000,10.000000,0.700000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,67.134389,1.000000,0.750000,0.240000,2.000000,1.000000,,,,,,,,,,,,,
34,p9p75_l5p2_w0p65_fw0p75_stub0p75,74.220621,隔离较好的强孔缝候选增加支节，寻找 S11 和 A/B 隔离折中点。,-3.557628,1.182717,"dB(S(P1B:1,P1B:1))","dB(S(P2A:1,P2B:1))",-3.583679,-3.557628,0.026051,1.182717,47.142867,9.750000,0.500000,1.000000,0.254000,5.200000,5.200000,0.650000,0.000000,0.000000,0.000000,0.000000,10.000000,0.750000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,67.884463,1.000000,0.750000,0.240000,2.000000,1.000000,,,,,,,,,,,,,
35,p9p75_l5p6_w0p70_fw0p80_stub0p65_off1p2,74.387713,围绕当前最优 offset=1.2 mm 细扫较短支节，寻找欠补偿边界。,-4.110367,1.079029,"dB(S(P1A:1,P1A:1))","dB(S(P2A:1,P2B:1))",-4.110367,-4.153597,0.043230,1.079029,39.203745,9.750000,0.500000,1.000000,0.254000,5.600000,5.600000,0.700000,0.000000,0.000000,0.000000,0.000000,10.000000,0.800000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,62.443280,1.000000,0.650000,0.240000,1.200000,1.000000,,,,,,,,,,,,,
36,p9p75_l5p6_w0p70_fw0p80_stub0p90_off1p2,72.256476,围绕当前最优 offset=1.2 mm 增加支节长度，检查匹配谷是否继续加深。,-4.336011,1.114755,"dB(S(P3B:1,P3B:1))","dB(S(P1B:1,P1A:1))",-4.355271,-4.336011,0.019260,1.114755,38.835032,9.750000,0.500000,1.000000,0.254000,5.600000,5.600000,0.700000,0.000000,0.000000,0.000000,0.000000,10.000000,0.800000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,60.121034,1.000000,0.900000,0.240000,1.200000,1.000000,,,,,,,,,,,,,
37,p9p75_l5p6_w0p70_fw0p80_stub1p15_off1p2,72.217743,在当前最优位置使用 1.15 mm 支节，衔接上一轮 1.10 mm 正向结果。,-3.936864,0.848074,"dB(S(P3B:1,P3B:1))","dB(S(P2A:1,P2B:1))",-3.948131,-3.936864,0.011268,0.848074,40.439559,9.750000,0.500000,1.000000,0.254000,5.600000,5.600000,0.700000,0.000000,0.000000,0.000000,0.000000,10.000000,0.800000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,64.229863,1.000000,1.150000,0.240000,1.200000,1.000000,,,,,,,,,,,,,
38,p9p75_l5p6_w0p70_fw0p80_stub1p50_off1p2,72.228990,继续加长开路支节，确认更强电抗补偿是否会过冲。,-4.865812,0.652549,"dB(S(P3B:1,P3B:1))","dB(S(P1B:1,P1A:1))",-5.025894,-4.865812,0.160082,0.652549,38.461249,9.750000,0.500000,1.000000,0.254000,5.600000,5.600000,0.700000,0.000000,0.000000,0.000000,0.000000,10.000000,0.800000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,55.335770,1.000000,1.500000,0.240000,1.200000,1.000000,,,,,,,,,,,,,
39,p9p75_l5p6_w0p70_fw0p80_stub1p90_off1p2,80.711113,尝试更长开路支节，把调谐范围推向四分之一波长方向。,-5.288163,0.569724,"dB(S(P3B:1,P3B:1))","dB(S(P2A:1,P2B:1))",-5.349870,-5.288163,0.061707,0.569724,40.512543,9.750000,0.500000,1.000000,0.254000,5.600000,5.600000,0.700000,0.000000,0.000000,0.000000,0.000000,10.000000,0.800000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,50.956927,1.000000,1.900000,0.240000,1.200000,1.000000,,,,,,,,,,,,,
40,p9p75_l5p6_w0p70_fw0p80_stub2p40_off1p2,72.256860,强补偿长支节候选，用于判断当前单支节拓扑的上限。,-4.999701,0.355328,"dB(S(P4A:1,P4A:1))","dB(S(P2A:1,P2B:1))",-4.999701,-5.038659,0.038959,0.355328,38.263911,9.750000,0.500000,1.000000,0.254000,5.600000,5.600000,0.700000,0.000000,0.000000,0.000000,0.000000,10.000000,0.800000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,53.903246,1.000000,2.400000,0.240000,1.200000,1.000000,,,,,,,,,,,,,
41,p9p75_l5p6_w0p70_fw0p80_stub0p75_off0p6,79.221231,把当前最优长度进一步移向馈线中心，检查支节耦合位置灵敏度。,-3.633006,0.918650,"dB(S(P4B:1,P4B:1))","dB(S(P1B:1,P1A:1))",-3.659860,-3.633006,0.026854,0.918650,41.383808,9.750000,0.500000,1.000000,0.254000,5.600000,5.600000,0.700000,0.000000,0.000000,0.000000,0.000000,10.000000,0.800000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,67.264321,1.000000,0.750000,0.240000,0.600000,1.000000,,,,,,,,,,,,,
42,p9p75_l5p6_w0p70_fw0p80_stub0p75_off0p9,68.189582,在 0.6 和 1.2 mm 之间补点，细化最佳支节 offset。,-3.629452,0.945628,"dB(S(P3B:1,P3B:1))","dB(S(P1B:1,P1A:1))",-3.648029,-3.629452,0.018577,0.945628,38.604204,9.750000,0.500000,1.000000,0.254000,5.600000,5.600000,0.700000,0.000000,0.000000,0.000000,0.000000,10.000000,0.800000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,67.269824,1.000000,0.750000,0.240000,0.900000,1.000000,,,,,,,,,,,,,
43,p9p75_l5p6_w0p70_fw0p80_stub0p75_off1p5,74.192745,在 1.2 和 2.0 mm 之间补点，判断当前最佳是否是窄峰。,-4.328285,1.185057,"dB(S(P4A:1,P4A:1))","dB(S(P2A:1,P2B:1))",-4.328285,-4.329537,0.001252,1.185057,40.615273,9.750000,0.500000,1.000000,0.254000,5.600000,5.600000,0.700000,0.000000,0.000000,0.000000,0.000000,10.000000,0.800000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,60.127125,1.000000,0.750000,0.240000,1.500000,1.000000,,,,,,,,,,,,,
44,p9p75_l5p6_w0p70_fw0p80_stub0p75_off1p8,73.178525,继续沿 offset 方向补点，观察回波改善是否单调衰减。,-3.612885,1.551808,"dB(S(P1A:1,P1A:1))","dB(S(P3B:1,P3A:1))",-3.612885,-3.639561,0.026677,1.551808,45.016730,9.750000,0.500000,1.000000,0.254000,5.600000,5.600000,0.700000,0.000000,0.000000,0.000000,0.000000,10.000000,0.800000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,67.148601,1.000000,0.750000,0.240000,1.800000,1.000000,,,,,,,,,,,,,
